State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Pomona Middle School",771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Ramapo High School",1650,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,25,0,12,0,1,0,0,0,2,0,0,0,0,6,0,1,2,9
"Spring Valley High School",1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0
"Summit Park Elementary School",482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Fieldstone Secondary School",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,54,0,0,0,5,0,6,0,0,0,0,0,6,4,1,388
"Gerald F Neary Elementary School",493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haverstraw Middle School",508,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,39,0,6,0,0,0,0,0,4,0,0,0,0,0,3,0,0,99
"James A Farley Middle School",565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,50
"North Garnerville Elementary School",327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"North Rockland High School",2130,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,42,0,18,0,0,0,8,0,22,0,0,0,0,0,0,7,1,297
"Stony Point Elementary School",641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thiells Elementary School",778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
"West Haverstraw Elementary School",676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,4,0,0,0,0,0,6,0,0,0,0,0,1,0,0,10
"Willow Grove Middle School",697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,19,0,0,0,0,0,5,0,0,0,0,0,1,0,0,52
